_task,_task_name,_task_count,Kernel,Tree,Inductive Tree,NN,Stats: Non-Para,Stats: Classicla,Stats: Bayes,Rule Classifier
0,Ac2,22,0,1,0,0,0,0,0,0
1,IndCART,22,0,1,0,0,0,0,0,0
2,KNN,22,1,0,0,0,0,0,0,0
3,Kohonen,22,0,0,0,1,0,0,0,0
4,ITrule,22,0,0,0,0,0,0,0,1
5,Discrim,22,0,0,0,0,0,1,0,0
6,Dipol92,22,0,0,0,0,1,0,0,0
7,LVQ,22,0,0,0,1,0,0,0,0
8,RBF,22,0,0,0,1,0,0,0,0
9,QuaDisc,22,0,0,0,0,0,1,0,0
10,Smart,22,0,0,0,0,1,0,0,0
11,LogDisc,22,0,0,0,0,0,1,0,0
12,NewId,22,0,1,1,0,0,0,0,0
13,Default,22,0,0,0,0,0,0,0,0
14,BayesTree,22,0,0,0,0,1,0,1,0
15,Bayes,22,0,0,0,0,1,0,1,0
16,C4.5,22,0,1,1,0,0,0,0,0
17,BackProp,22,0,0,0,1,0,0,0,0
18,Alloc80,22,1,0,0,0,0,0,0,0
19,CART,22,0,1,0,0,0,0,0,0
20,Cn2,22,0,0,0,0,0,0,0,1
21,Castle,22,0,0,0,0,1,0,0,0
22,Cascade,22,0,0,0,0,0,0,0,0
23,Cal5,22,0,1,0,0,0,0,0,0
