_task,_task_name,_task_country,depth,water_temperature,precipitation_local,pasture,cropland,area,elevation,latitude,lake_type_1,lake_type_2,lake_type_3,_task_count
0,Lake Erie,United States of America (the),3.7184382563554808,12.454177167338742,7.348587530927593,31,18,11.114926912628793,180.79634877756376,41.74370809304488,0,0,1,510
1,Taihu,China,0.8329091229351041,16.011545973557702,7.050122520269059,0,84,7.753297313093885,3.2999999999999963,31.236185624747478,1,0,0,198
2,Lake Kasumigaura,Japan,1.9600947840472698,7.558007812500023,7.2868764117507,0,51,5.12610454390237,142.70501147000883,36.06131006207446,0,0,1,120
3,Eagle Creek Reservoir,United States of America (the),1.1631508098056809,21.226668294270837,6.139884552226255,0,0,-1.203972804325936,238.0,39.846196625,1,0,0,80
4,Dianchi,China,2.9856819377004897,16.816909555288476,6.994849985833071,28,25,5.698568907603313,535.1154416836994,24.826301433593756,1,0,0,64
5,Geist Reservoir,United States of America (the),1.856297990365626,13.073334418402851,6.375024819828097,0,0,-1.5141277326297755,238.0,39.930679827586225,1,0,0,56
6,Morse Reservoir,United States of America (the),0.9555114450274363,13.073334418402851,6.1092475827643655,0,0,-1.4271163556401456,248.0,40.10059222222221,1,0,0,54
7,Lake Erie,Canada,3.7184382563554808,12.791341145833314,7.348587530927593,31,18,11.114926912628793,174.0,41.8587995554,0,0,1,49
8,Garda,Italy,4.289088639014612,16.55792164522063,6.844815479208263,4,45,5.871864236206742,65.0,45.500459120885246,1,0,0,49
9,Lake Winnipeg,Canada,6.605027248325085,19.725000000000023,6.163314804034641,0,0,10.37248755331526,217.0,52.01237500021741,0,0,1,45
10,Chaohu,China,0.9932517730102834,16.188317871093716,7.040536390215956,4,63,6.668240954816982,8.169999999999998,31.578445699999985,1,0,0,40
11,Lake Hume,Australia,3.3141860046725258,16.09332682291671,6.752270376141742,33,2,4.7098904967584945,192.0,-36.1049541725,0,1,0,40
12,Branched Oak Lake,United States of America (the),1.4586150226995167,17.737512207031273,5.556828061699537,0,0,-1.3862943611198906,390.0,40.9727185,1,0,0,40
13,Rosarito,Spain,2.1400661634962708,22.956648763020837,6.129050210060545,22,8,2.323367632176574,307.0,40.09448713870371,0,1,0,38
14,Embalse de Paso del Palmar,Uruguay,0.9932517730102834,20.795007324218773,5.634789603169249,0,0,2.89977188240808,70.0,-33.078881621621626,1,0,0,37
15,Erhai,China,3.6913763343125234,17.552962239583337,7.027314514039777,6,10,5.490424224076788,223.37285130301467,25.824160435675672,1,0,0,37
16,Mantova,Italy,0.9162907318741551,8.209985351562523,6.799055862058796,15,59,1.7850704810772584,15.0,45.162374229074075,1,0,0,36
17,Pinto Lake,United States of America (the),1.3609765531356006,19.194970703125023,6.194405391104672,0,0,-1.6094379124341003,35.0,36.951260000000026,1,0,0,33
18,Loskop,South Africa,2.7013612129514133,19.744422743055566,6.606650186198215,54,25,3.163363114937942,1002.0,-25.452999999999985,0,1,0,31
19,Ibitinga Reservoir,Brazil,2.6100697927420065,23.947737630208337,5.84354441703136,0,0,1.5892352051165808,400.0,-21.835811607125,1,0,0,28
20,Ba Be Lake,Viet Nam,3.321432413193293,19.226668294270837,7.434847875211999,4,4,1.0818051703517284,223.37285130301467,22.40854642857143,1,0,0,28
21,Wuhan East Lake,China,1.7749523509116736,13.996647135416708,7.206377291472252,0,61,3.1937631240531257,26.0,30.56430878181818,1,0,0,28
22,Liangzi Lake,China,2.0149030205422647,19.836653645833337,7.259116128097101,3,57,5.7119490373225945,25.0,30.2524635075,1,0,0,25
23,Lake Geneva,Switzerland,5.048573133436648,14.360000000000014,6.893656354602635,24,20,6.348666851967497,372.0,46.49487557839105,1,0,0,24
24,Lake Kummerow,Germany,1.4586150226995167,11.191992187500034,6.47543271670409,15,42,3.453789831781326,0.20000000000000007,53.834190370370365,1,0,0,22
25,Albufera,Spain,0.09531017980432493,17.209985351562523,6.309918278226516,2,36,3.125882958019036,1.0,39.327631608965525,1,0,0,21
26,Trasimeno,Italy,2.341805806147327,16.545154989919354,6.795705775173514,13,73,4.7831489933479086,258.0,43.12997575000001,1,0,0,21
27,Lake Rotoehu,New Zealand,2.91235066461494,10.019982910156273,7.72356247227797,25,0,2.008214032391468,302.6939999999999,-38.01907689999999,1,0,0,20
28,Lake Rotoiti,New Zealand,3.502549875922443,10.019982910156273,7.611842399580417,10,0,3.488902962081261,266.453,-38.03330205,1,0,0,20
29,"West Lake, Hanoi",Viet Nam,1.1314021114911006,24.170007324218773,7.4798641311650265,0,57,1.763017000362401,5.0,21.04843157894737,1,0,0,19
